tweet_id,text,risk_score,signal_summary,account_age_days,followers_count,retweet_count,url_domain,human_label,rationale
synth_hold_00217,I do not align with conspiracies. But I do not think every question has a satisfactory answer yet.,70,"new_account(<90d,+10) | low_followers(<10,+15) | no_profile_photo(+10) | bad_domain(rumble.com,+15) | rt_velocity(ratio=18.5,+20)",77,2,37,rumble.com,1,
synth_hold_00221,Something changed in my health after the second dose. No doctor can find an explanation.,70,"new_account(<90d,+10) | low_followers(<10,+15) | no_profile_photo(+10) | bad_domain(healthimpactnews.com,+15) | rt_velocity(ratio=20.5,+20)",72,2,41,healthimpactnews.com,0,"Alarm phrases present as rhetorical questions, not assertions of false fact"
synth_esc_00271,THEY DON'T WANT YOU KNOWING: Former Pfizer executive says vaccines designed to reduce fertility.,80,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | bad_domain(infowars.com,+15) | rt_velocity(ratio=271.0,+20)",10,8,2168,infowars.com,1,
synth_esc_00272,WAKE UP CONFIRMED: 5G towers are being used for mass mind control. MUST WATCH before BANNED.,85,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(3_hits,+20) | rt_velocity(ratio=64.0,+20)",6,4,256,,1,
synth_esc_00273,"CONFIRMED: VAERS reports show 50,000 vaccine deaths in US alone. Real number estimated 100x higher.",90,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(1_hit,+10) | bad_domain(naturalnews.com,+15) | rt_velocity(ratio=323.0,+20)",18,7,2261,naturalnews.com,1,
synth_esc_00274,WAKE UP EVERYONE: Flu disappeared in 2020 because hospitals were counting flu deaths as COVID. CONFIRMED.,90,"new_account(<30d,+20) | low_followers(<10,+15) | keyword_match(2_hits,+20) | bad_domain(nationalfile.com,+15) | rt_velocity(ratio=94.5,+20)",24,4,378,nationalfile.com,1,
synth_esc_00275,BREAKING: Doctors who spoke out about vaccine deaths being SILENCED. What they're hiding will shock you.,65,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(3_hits,+20)",15,6,25,,1,
synth_esc_00276,MUST WATCH BANNED VIDEO: Doctor CONFIRMS mRNA changes your DNA permanently. Media hiding this.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(beforeitsnews.com,+15) | rt_velocity(ratio=32.0,+20)",8,6,192,beforeitsnews.com,1,
synth_esc_00277,THEY DON'T WANT YOU TO KNOW: 5G towers activate graphene oxide in vaccines. WAKE UP. Share now.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(dcclothesline.com,+15) | rt_velocity(ratio=332.0,+20)",10,1,332,dcclothesline.com,0,"Counter-speech mocking conspiracy language; tweet is debunking, not asserting"
synth_esc_00278,GOING VIRAL: They're hiding that COVID was never real — the PCR test was deliberately miscalibrated.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(beforeitsnews.com,+15) | rt_velocity(ratio=21.0,+20)",15,2,42,beforeitsnews.com,1,
synth_esc_00279,THEY DON'T WANT YOU KNOWING: Ivermectin CONFIRMED to cure COVID — SUPPRESSED by pharma lobby.,85,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | rt_velocity(ratio=94.3,+20)",3,3,283,,1,
synth_esc_00280,SUPPRESSED CONFIRMED: Former WHO scientist CONFIRMS pandemic was manufactured. SHARE BEFORE DELETED.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(3_hits,+20) | bad_domain(dcclothesline.com,+15) | rt_velocity(ratio=116.7,+20)",5,3,350,dcclothesline.com,0,BREAKING keyword fired on a genuine real-time news report with verifiable claim
synth_esc_00281,SHARE BEFORE DELETED: Internal CDC document shows they KNEW about massive myocarditis scale.,90,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(1_hit,+10) | bad_domain(nationalfile.com,+15) | rt_velocity(ratio=294.0,+20)",11,2,588,nationalfile.com,1,
synth_esc_00282,BREAKING CONFIRMED: Vaccine nanoparticles collect biometric data and transmit via 5G towers.,90,"new_account(<30d,+20) | low_followers(<10,+15) | keyword_match(2_hits,+20) | bad_domain(newspunch.com,+15) | rt_velocity(ratio=89.8,+20)",19,6,539,newspunch.com,1,
synth_esc_00283,BREAKING BANNED VIDEO: Funeral director CONFIRMS seeing unusual clots in vaccinated bodies only.,85,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | rt_velocity(ratio=74.8,+20)",18,4,299,,1,
synth_esc_00284,CONFIRMED SUPPRESSED: Lab leak documents PROVE COVID was engineered bioweapon. Share everywhere.,90,"new_account(<30d,+20) | low_followers(<10,+15) | keyword_match(2_hits,+20) | bad_domain(healthimpactnews.com,+15) | rt_velocity(ratio=81.5,+20)",19,4,326,healthimpactnews.com,1,
synth_esc_00285,BREAKING SHARE NOW: Lab CONFIRMS graphene oxide in all COVID vaccines. MAINSTREAM MEDIA WON'T REPORT.,85,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | rt_velocity(ratio=54.0,+20)",19,1,54,,1,
synth_esc_00286,SHARE BEFORE DELETED: Government CONFIRMS plan to use vaccines for population reduction. WAKE UP.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(zerohedge.com,+15) | rt_velocity(ratio=40.0,+20)",13,7,280,zerohedge.com,1,
synth_esc_00287,MUST WATCH CENSORED: Nurse CONFIRMS she was told not to report adverse events. Going viral everywhere.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(3_hits,+20) | bad_domain(newspunch.com,+15) | rt_velocity(ratio=118.0,+20)",21,3,354,newspunch.com,1,
synth_esc_00288,BANNED VIDEO: Nobel Prize winner explains why mRNA vaccines cause immune system collapse. CENSORED.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(newstarget.com,+15) | rt_velocity(ratio=56.7,+20)",5,3,170,newstarget.com,1,
synth_esc_00289,CONFIRMED GOING VIRAL: Electromagnetic fields from vaccinated people detected by magnets. SHARE.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(newstarget.com,+15) | rt_velocity(ratio=325.0,+20)",5,5,1625,newstarget.com,1,
synth_esc_00290,BREAKING SUPPRESSED: New study CONFIRMS spike protein permanently integrates into cellular DNA.,90,"new_account(<30d,+20) | low_followers(<10,+15) | keyword_match(2_hits,+20) | bad_domain(thegatewaypundit.com,+15) | rt_velocity(ratio=63.2,+20)",18,6,379,thegatewaypundit.com,1,
synth_esc_00291,THEY'RE HIDING: VAERS whistleblower CONFIRMS death data deleted before public release. WAKE UP.,90,"new_account(<30d,+20) | low_followers(<10,+15) | keyword_match(2_hits,+20) | bad_domain(rumble.com,+15) | rt_velocity(ratio=24.8,+20)",7,8,198,rumble.com,1,
synth_esc_00292,SHARE BEFORE THEY DELETE: Whistleblower from Pfizer CONFIRMS trial data was falsified. Going viral.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(brighteon.com,+15) | rt_velocity(ratio=129.5,+20)",12,2,259,brighteon.com,1,
synth_esc_00293,MUST SHARE NOW: Hospital recording CONFIRMS patients killed by ventilators for financial incentives.,70,"new_account(<30d,+20) | low_followers(<10,+15) | bad_domain(zerohedge.com,+15) | rt_velocity(ratio=62.1,+20)",19,8,497,zerohedge.com,1,
synth_esc_00294,MUST WATCH CENSORED: Patent documents CONFIRM COVID was engineered and vaccine was pre-planned.,100,"new_account(<30d,+20) | low_followers(<10,+15) | no_profile_photo(+10) | keyword_match(2_hits,+20) | bad_domain(newspunch.com,+15) | rt_velocity(ratio=58.4,+20)",13,7,409,newspunch.com,1,
synth_esc_00295,THEY DON'T WANT THIS OUT: Excess deaths in 2022 are 40% above baseline. Government covering it up.,70,"new_account(<30d,+20) | low_followers(<10,+15) | bad_domain(thegatewaypundit.com,+15) | rt_velocity(ratio=103.5,+20)",13,2,207,thegatewaypundit.com,1,
